match_id,season,date,venue,team1,team2,toss_winner,toss_decision,team1_score,team2_score,winner,win_by_runs,win_by_wickets
1,2008,2008-04-22,Sawai Mansingh Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,193,171,Chennai Super Kings,22,0
2,2008,2008-04-12,M. Chinnaswamy Stadium,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,133,147,Royal Challengers Bangalore,0,3
3,2008,2008-04-02,Arun Jaitley Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,154,175,Punjab Kings,0,5
4,2008,2008-04-22,Rajiv Gandhi Intl Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,142,177,Delhi Capitals,0,6
5,2008,2008-04-15,M. Chinnaswamy Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,168,163,Mumbai Indians,5,0
6,2008,2008-04-28,Arun Jaitley Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,173,159,Royal Challengers Bangalore,14,0
7,2008,2008-04-17,Wankhede Stadium,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,136,143,Punjab Kings,0,3
8,2008,2008-04-01,Sawai Mansingh Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,170,175,Chennai Super Kings,0,2
9,2008,2008-04-27,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,148,172,Mumbai Indians,0,7
10,2008,2008-04-05,Sawai Mansingh Stadium,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,166,122,Delhi Capitals,44,0
11,2008,2008-04-21,Sawai Mansingh Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,170,174,Chennai Super Kings,0,9
12,2008,2008-04-01,Eden Gardens,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,159,170,Royal Challengers Bangalore,0,1
13,2008,2008-04-19,Eden Gardens,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,141,210,Rajasthan Royals,0,1
14,2008,2008-04-17,Wankhede Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,164,127,Sunrisers Hyderabad,37,0
15,2008,2008-04-02,M. Chinnaswamy Stadium,Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,187,132,Kolkata Knight Riders,55,0
16,2008,2008-04-06,Eden Gardens,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,field,190,132,Mumbai Indians,58,0
17,2008,2008-04-19,PCA Stadium Mohali,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,145,145,Chennai Super Kings,0,3
18,2008,2008-04-07,PCA Stadium Mohali,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,149,170,Chennai Super Kings,0,3
19,2008,2008-04-23,Wankhede Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,183,160,Royal Challengers Bangalore,23,0
20,2008,2008-04-04,PCA Stadium Mohali,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,152,162,Chennai Super Kings,0,8
21,2008,2008-04-22,Eden Gardens,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,168,136,Delhi Capitals,32,0
22,2008,2008-04-17,Arun Jaitley Stadium,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,182,165,Punjab Kings,17,0
23,2008,2008-04-27,Rajiv Gandhi Intl Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,164,165,Rajasthan Royals,0,8
24,2008,2008-04-17,Wankhede Stadium,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,215,157,Sunrisers Hyderabad,58,0
25,2008,2008-04-03,Arun Jaitley Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,bat,173,156,Royal Challengers Bangalore,17,0
26,2008,2008-04-26,PCA Stadium Mohali,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,177,159,Chennai Super Kings,18,0
27,2008,2008-04-16,MA Chidambaram Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,184,176,Mumbai Indians,8,0
28,2008,2008-04-23,PCA Stadium Mohali,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,154,155,Mumbai Indians,0,3
29,2008,2008-04-17,Rajiv Gandhi Intl Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,132,164,Mumbai Indians,0,6
30,2008,2008-04-13,PCA Stadium Mohali,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,164,167,Delhi Capitals,0,6
31,2008,2008-04-26,M. Chinnaswamy Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,153,173,Chennai Super Kings,0,7
32,2008,2008-04-16,MA Chidambaram Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,170,128,Rajasthan Royals,42,0
33,2008,2008-04-25,PCA Stadium Mohali,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,143,162,Royal Challengers Bangalore,0,6
34,2008,2008-04-07,Rajiv Gandhi Intl Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,148,156,Chennai Super Kings,0,5
35,2008,2008-04-05,Rajiv Gandhi Intl Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,165,171,Punjab Kings,0,8
36,2008,2008-04-11,PCA Stadium Mohali,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,153,196,Sunrisers Hyderabad,0,3
